date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1952-06-22,,Switzerland,Austria,1,1,Friendly,Geneva,Switzerland,FALSE,939,0,0,0
1952-09-20,,Switzerland,Hungary,2,4,International Cup,Berne,Switzerland,FALSE,945,0,0,0
1952-11-09,,Germany,Switzerland,5,1,Friendly,Augsburg,Germany,FALSE,951,0,0,0
1952-12-28,,Italy,Switzerland,2,0,International Cup,Palermo,Italy,FALSE,953,0,0,0
1953-03-22,,Netherlands,Switzerland,1,2,Friendly,Amsterdam,Netherlands,FALSE,956,0,0,0
1953-05-25,,Switzerland,Turkey,1,2,Friendly,Berne,Switzerland,FALSE,959,0,0,0
1953-06-27,,Switzerland,Denmark,1,4,Friendly,Basel,Switzerland,FALSE,964,0,0,0
1953-09-20,,Czechoslovakia,Switzerland,5,0,International Cup,Prague,Czechoslovakia,FALSE,969,0,0,0
1953-11-11,,France,Switzerland,2,4,Friendly,Colombes,France,FALSE,975,0,0,0
1953-11-22,,Switzerland,Belgium,2,2,Friendly,Zürich,Switzerland,FALSE,979,0,0,0
1954-04-25,,Switzerland,Germany,3,5,Friendly,Basel,Switzerland,FALSE,987,0,0,0
1954-05-23,,Switzerland,Uruguay,3,3,Friendly,Lausanne,Switzerland,FALSE,993,0,0,0
1954-05-30,,Switzerland,Netherlands,3,1,Friendly,Zürich,Switzerland,FALSE,997,0,0,0
1954-06-16,,Austria,Scotland,1,0,FIFA World Cup,Zürich,Switzerland,TRUE,998,0,0,0
1954-06-16,,Brazil,Mexico,5,0,FIFA World Cup,Geneva,Switzerland,TRUE,1003,0,0,0
1954-06-16,,Czechoslovakia,Uruguay,0,2,FIFA World Cup,Berne,Switzerland,TRUE,1005,0,0,0
1954-06-16,,France,Yugoslavia,0,1,FIFA World Cup,Lausanne,Switzerland,TRUE,1006,0,0,0
1954-06-17,,Belgium,England,4,4,FIFA World Cup,Basel,Switzerland,TRUE,1014,0,0,0
1954-06-17,,Germany,Turkey,4,1,FIFA World Cup,Berne,Switzerland,TRUE,1019,0,0,0
1954-06-17,,Hungary,South Korea,9,0,FIFA World Cup,Zürich,Switzerland,TRUE,1028,0,0,0
1954-06-17,,Switzerland,Italy,2,1,FIFA World Cup,Lausanne,Switzerland,FALSE,1031,0,0,0
1954-06-19,,Austria,Czechoslovakia,5,0,FIFA World Cup,Zürich,Switzerland,TRUE,1036,0,0,0
1954-06-19,,Brazil,Yugoslavia,1,1,FIFA World Cup,Lausanne,Switzerland,TRUE,1038,0,0,0
1954-06-19,,France,Mexico,3,2,FIFA World Cup,Geneva,Switzerland,TRUE,1043,0,0,0
1954-06-19,,Scotland,Uruguay,0,7,FIFA World Cup,Basel,Switzerland,TRUE,1050,0,0,0
1954-06-20,,Belgium,Italy,1,4,FIFA World Cup,Lugano,Switzerland,TRUE,1055,0,0,0
1954-06-20,,Germany,Hungary,3,8,FIFA World Cup,Basel,Switzerland,TRUE,1066,0,0,0
1954-06-20,,South Korea,Turkey,0,7,FIFA World Cup,Geneva,Switzerland,TRUE,1073,0,0,0
1954-06-20,,Switzerland,England,0,2,FIFA World Cup,Berne,Switzerland,FALSE,1075,0,0,0
1954-06-23,,Germany,Turkey,7,2,FIFA World Cup,Zürich,Switzerland,TRUE,1084,0,0,0
1954-06-23,,Switzerland,Italy,4,1,FIFA World Cup,Basel,Switzerland,FALSE,1089,0,0,0
1954-06-26,,England,Uruguay,2,4,FIFA World Cup,Basel,Switzerland,TRUE,1095,0,0,0
1954-06-26,,Switzerland,Austria,5,7,FIFA World Cup,Lausanne,Switzerland,FALSE,1107,0,0,0
1954-06-27,,Brazil,Hungary,2,4,FIFA World Cup,Berne,Switzerland,TRUE,1113,0,0,0
1954-06-27,,Germany,Yugoslavia,2,0,FIFA World Cup,Geneva,Switzerland,TRUE,1115,0,0,0
